,구분,에볼라바이러스병,마버그열,라싸열,크리미안콩고출혈열,남아메리카출혈열,리프트밸리열,두창,페스트,탄저,보툴리눔독소증,야토병,신종감염병증후군,중증급성호흡기증후군(SARS),중동호흡기증후군(MERS),동물인플루엔자 인체감염증,신종인플루엔자,디프테리아,수두,홍역,콜레라,장티푸스,파라티푸스,세균성이질,장출혈성대장균감염증,A형간염,백일해,유행성이하선염,풍진(2018년이전),풍진(선천성),풍진(후천성),폴리오,수막구균 감염증,b형헤모필루스인플루엔자,폐렴구균 감염증,한센병,성홍열,반코마이신내성황색포도알균(VRSA) 감염증,카바페넴내성장내세균속균종(CRE) 감염증,E형간염,파상풍,B형간염,일본뇌염,C형간염,말라리아,레지오넬라증,비브리오패혈증,발진티푸스,발진열,쯔쯔가무시증,렙토스피라증,브루셀라증,공수병,신증후군출혈열,크로이츠펠트-야콥병(CJD) 및 변종크로이츠펠트-야콥병(vCJD),황열,뎅기열,큐열,웨스트나일열,라임병,진드기매개뇌염,유비저,치쿤구니야열,중증열성혈소판감소증후군(SFTS),지카바이러스감염증
174,서울용산구,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2553125000000005,0.0275,0.0,0.04125,0.0275,0.0275,0.01375,1.3787499999999997,0.0684375,1.3650000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.1234375,0.0,1.1328124999999998,0.0,0.0,0.0,0.0,0.0959375,0.0,1.8424999999999998,0.12343749999999999,0.1509375,0.0,0.0,0.0,0.1090625,0.0,0.0,0.0,0.01375,0.0,0.0,0.0821875,0.01375,0.0,0.055,0.0,0.0,0.01375,0.0,0.0
175,서울은평구,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.174375,0.0065625,0.0,0.0259375,0.0196875,0.0459375,0.0196875,1.595625,0.0328125,1.8762500000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0715625,0.0,0.9190625000000002,0.0,0.0,0.0065625,0.0,0.05875,0.0,1.1324999999999996,0.0715625,0.07875,0.0065625,0.0,0.0,0.078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0390625,0.0065625,0.0,0.0065625,0.0,0.0,0.0065625,0.0196875,0.0
176,서울종로구,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.741249999999998,0.0,0.0,0.0,0.0203125,0.0,0.040625,1.5796874999999992,0.060937500000000006,3.349375,0.0,0.0,0.0,0.0,0.0,0.0,0.06125,0.0,1.2653124999999994,0.0,0.0,0.0,0.020625,0.061562500000000006,0.0,1.7559375000000002,0.061562500000000006,0.12343750000000002,0.0,0.0,0.0,0.1221875,0.0,0.0,0.0,0.04125,0.0,0.0,0.10218750000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
177,서울중구,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5703125,0.0,0.0,0.0496875,0.0496875,0.025,0.0496875,1.29125,0.0246875,1.3900000000000003,0.0,0.0,0.0,0.0,0.0,0.025,0.2984375,0.0,1.4150000000000003,0.0,0.0,0.0,0.0,0.099375,0.0,2.037187500000001,0.0740625,0.1240625,0.0,0.0,0.0,0.0496875,0.0,0.0,0.0,0.0,0.0,0.0,0.09968750000000001,0.0496875,0.0,0.0246875,0.0,0.0246875,0.0,0.0246875,0.0
178,서울중랑구,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.998125000000002,0.0078125,0.0,0.0078125,0.0,0.0621875,0.015625,1.224375,0.0234375,1.9653125,0.0,0.0,0.0,0.0,0.0078125,0.0,0.1475,0.0,1.5765624999999999,0.0,0.0,0.0,0.0,0.0859375,0.0,1.08875,0.0703125,0.0625,0.0,0.0,0.0,0.03875,0.0,0.0,0.0,0.015625,0.0,0.0,0.03125,0.0,0.0,0.0,0.0,0.0,0.0,0.0078125,0.0
179,세종세종시,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.699687499999992,0.0096875,0.0,0.02125,0.0,0.010625,0.03875,4.151250000000001,0.24718749999999998,2.6965625,0.0,0.0,0.0,0.0,0.0096875,0.0,0.0396875,0.0,1.6346875000000003,0.0,0.0,0.0,0.019375,0.019375,0.0,0.7446875000000001,0.0203125,0.0,0.0,0.0,0.0,0.6156249999999999,0.019375,0.0,0.0,0.02125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048125,0.0
180,울산남구,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.52,0.0,0.0,0.0378125,0.0,0.019375,0.0471875,0.31500000000000006,0.14125,3.5809374999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.048125,0.0,2.5653125,0.0,0.0,0.0,0.0,0.028749999999999998,0.0,1.4334375,0.0571875,0.038125,0.0,0.0,0.0,0.6728124999999999,0.009375,0.0,0.0,0.0,0.0190625,0.0,0.048125,0.0375,0.0,0.0,0.0,0.0,0.0,0.06625,0.0
181,울산동구,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.947499999999987,0.0,0.0,0.076875,0.0,0.019375,0.038125,0.21125,0.0,4.318125,0.0,0.0,0.0,0.0,0.0,0.0,0.188125,0.0,1.5512499999999996,0.0,0.0,0.0,0.0,0.07625,0.0,0.6865624999999999,0.019375,0.0,0.0,0.0,0.0,0.6631250000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.076875,0.0,0.0,0.0,0.0,0.0,0.0,0.0771875,0.0
182,울산북구,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.130624999999998,0.029375,0.0,0.0153125,0.0,0.0,0.029375,0.42937500000000006,0.10468749999999999,4.4240625,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,4.948124999999999,0.0,0.0,0.0146875,0.0,0.0146875,0.0,0.8181250000000002,0.0153125,0.03,0.0,0.0,0.0,0.9681249999999999,0.0,0.0,0.0,0.029375,0.0,0.0,0.0740625,0.030625,0.0,0.0,0.0,0.0,0.0,0.06,0.0
183,울산울주군,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.656250000000004,0.0,0.0,0.0140625,0.0140625,0.05625,0.140625,0.3656249999999999,0.36656249999999996,2.0156249999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.09843750000000001,0.0,3.72,0.0,0.0,0.0,0.0140625,0.084375,0.0,2.4490625,0.0,0.028125,0.0,0.0,0.0703125,2.6084375000000004,0.028125,0.0,0.0,0.0421875,0.028125,0.0,0.028125,0.0140625,0.0,0.0,0.0,0.0140625,0.0,0.05625,0.0
